batch_id,item_id,source_file,line_no,matched_text,pattern_family,referenced_path,referenced_exists,risk,remediation
CL-MIG-001,MIG-0020,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\04_PHASE_CLOSURES\CL_PHASE_01_FINAL_CLOSURE_RECORD_v1.0.md,56,My Drive\The Gradient,DRIVE_ROOT_REF,My Drive\The Gradient,unknown,WARN,LEAVE
CL-MIG-001,MIG-0020,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\04_PHASE_CLOSURES\CL_PHASE_01_FINAL_CLOSURE_RECORD_v1.0.md,62,C:\Users\steve\My,ABS_PATH,C:\Users\steve\My,false,WARN,LEAVE
CL-MIG-001,MIG-0023,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\04_PHASE_CLOSURES\CL_PHASE_02_NON_DESTRUCTIVE_MIGRATION_PLANNING_CHARTER_v1.0.md,17,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES,ABS_PATH,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES,true,WARN,LEAVE
CL-MIG-001,MIG-0023,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\04_PHASE_CLOSURES\CL_PHASE_02_NON_DESTRUCTIVE_MIGRATION_PLANNING_CHARTER_v1.0.md,155,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\,ABS_PATH,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\,true,WARN,LEAVE
CL-MIG-001,MIG-0024,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\04_PHASE_CLOSURES\CL_PHASE_02_CURSOR_MIGRATION_PLANNING_PACKET.md,10,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES,ABS_PATH,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES,true,WARN,LEAVE
CL-MIG-001,MIG-0024,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\04_PHASE_CLOSURES\CL_PHASE_02_CURSOR_MIGRATION_PLANNING_PACKET.md,16,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING,ABS_PATH,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING,true,WARN,LEAVE
CL-MIG-001,MIG-0029,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_MIGRATION_MANIFEST.schema.v1.1.json,2,https://json-schema.org/draft/2020-12/schema,URL_STATE_CLAIM,https://json-schema.org/draft/2020-12/schema,unknown,WARN,LEAVE
CL-MIG-001,MIG-0029,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_MIGRATION_MANIFEST.schema.v1.1.json,3,https://thegradient.local/schemas/cl-migration-manifest.schema.v1.1.json,URL_STATE_CLAIM,https://thegradient.local/schemas/cl-migration-manifest.schema.v1.1.json,unknown,WARN,LEAVE
CL-MIG-001,MIG-0030,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_EXTERNAL_BINARY_REFERENCE.schema.v1.1.json,2,https://json-schema.org/draft/2020-12/schema,URL_STATE_CLAIM,https://json-schema.org/draft/2020-12/schema,unknown,WARN,LEAVE
CL-MIG-001,MIG-0030,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_EXTERNAL_BINARY_REFERENCE.schema.v1.1.json,3,https://thegradient.local/schemas/cl-external-binary-reference.schema.v1.1.json,URL_STATE_CLAIM,https://thegradient.local/schemas/cl-external-binary-reference.schema.v1.1.json,unknown,WARN,LEAVE
